OBJECTID,NM_MUNICIP,CD_GEOCMU,NM_ESTADO,SECAS2015,SHAPE_Length,SHAPE_Area
371,JANDAÍRA,2405108,RIO GRANDE DO NORTE,1,0.861601933447655,0.0355679585397419
372,JANDUÍS,2405207,RIO GRANDE DO NORTE,1,0.750318037610661,0.0249029235071622
373,JANUÁRIO CICCO,2405306,RIO GRANDE DO NORTE,1,0.655237685520279,0.0152864491659377
374,JAPI,2405405,RIO GRANDE DO NORTE,1,0.607366552214697,0.0154482729439342
375,JARDIM DE ANGICOS,2405504,RIO GRANDE DO NORTE,1,0.642232140732641,0.0207356912039703
376,JUCURUTU,2406106,RIO GRANDE DO NORTE,1,1.52545205267021,0.076271922814372
377,JUNDIÁ,2406155,RIO GRANDE DO NORTE,1,0.313525409378474,0.00364781268997465
378,LAGOA D'ANTA,2406205,RIO GRANDE DO NORTE,1,0.44879394785239,0.008635421321429
379,LAGOA DE PEDRAS,2406304,RIO GRANDE DO NORTE,1,0.485883309121903,0.00963876522573248
380,LAGOA DE VELHOS,2406403,RIO GRANDE DO NORTE,1,0.391782130514147,0.00921708897593536
381,LAGOA NOVA,2406502,RIO GRANDE DO NORTE,1,0.878000196291518,0.0144021289394256
382,MONTANHAS,2407708,RIO GRANDE DO NORTE,1,0.355047206615356,0.00672129025694473
383,MONTE ALEGRE,2407807,RIO GRANDE DO NORTE,1,0.734744568606711,0.017230000720677
384,MONTE DAS GAMELEIRAS,2407906,RIO GRANDE DO NORTE,1,0.327095691907658,0.00588098734935028
385,MOSSORÓ,2408003,RIO GRANDE DO NORTE,1,2.00916029239126,0.17123360522798
386,NOVA CRUZ,2408300,RIO GRANDE DO NORTE,1,0.818634971047211,0.0226969920635641
387,LAGOA SALGADA,2406601,RIO GRANDE DO NORTE,1,0.372919169122491,0.00646451893547437
388,LAJES,2406700,RIO GRANDE DO NORTE,1,1.33533448054801,0.0552357614682391
389,LAJES PINTADAS,2406809,RIO GRANDE DO NORTE,1,0.479096460896969,0.0106379416205659
390,LUCRÉCIA,2406908,RIO GRANDE DO NORTE,1,0.313720067204794,0.00252682025668692
391,LUÍS GOMES,2407005,RIO GRANDE DO NORTE,1,0.597622697529971,0.0136197818061522
392,MACAÍBA,2407104,RIO GRANDE DO NORTE,1,0.905665143687488,0.0417121114544208
393,MACAU,2407203,RIO GRANDE DO NORTE,1,1.42770517053613,0.0642766959558962
394,MAJOR SALES,2407252,RIO GRANDE DO NORTE,1,0.247639920366909,0.00261319735504354
395,MARCELINO VIEIRA,2407302,RIO GRANDE DO NORTE,1,0.709598205756494,0.0282508076732732
396,MARTINS,2407401,RIO GRANDE DO NORTE,1,0.785282716340518,0.0138431864536241
397,MESSIAS TARGINO,2407609,RIO GRANDE DO NORTE,1,0.635234797868964,0.0110356158062646
398,TIMBAÚBA DOS BATISTAS,2414308,RIO GRANDE DO NORTE,1,0.467345823181683,0.0110732860278238
399,TOUROS,2414407,RIO GRANDE DO NORTE,1,1.5793016497644,0.0684323884351735
400,TRIUNFO POTIGUAR,2414456,RIO GRANDE DO NORTE,1,0.682352282951857,0.0219450244568514
401,CONGO,2504702,PARAÍBA,2,0.813502804207094,0.0273374464988598
402,ALCANTIL,2500536,PARAÍBA,2,0.841224076570154,0.0250295030589841
403,ALGODÃO DE JANDAÍRA,2500577,PARAÍBA,2,0.817209520144213,0.0180197275546534
404,SÃO JOÃO DO RIO DO PEIXE,2500700,PARAÍBA,2,1.27886877524872,0.0388037672575092
